FishCode,PreyID,PreyIDsimple,AlternativeID,MasterName,LeftOtoCheck,RightOtoCheck,LeftLength,LeftWidth,LeftPerim,LeftArea,RightLength,RightWidth,RightPerim,RightArea,AverageLength,AverageWidth,AveragePerimeter,AverageArea,LeftComposition,RightComposition,Digestion,ActualFishLen,ActualFishWeight,AVGPredictedLength,SalmonSpecies,SalmonSex,SalmonLength,SalmonWeight,CollectionMonth,CollectionYear,CollectionDayofYear,Season,Latitude,Longitude,StatArea
17047,A,A,,17047HerringHerringA,NO,YES,,,,,2.991811169,1.64694364,8.906890223,3.589745488,2.991811169,1.64694364,8.906890223,3.589745488,,,4,,,137.388329,ch,male,68.52792,9,2,2017,57,winter,49.57396045,-123.2784006,28
17050,A,A,,17050HerringHerringA,YES,NO,2.996887607,1.492258635,8.464068911,3.191347461,,,,,2.996887607,1.492258635,8.464068911,3.191347461,,,1,128,25.3622,137.6253073,ch,,65.98985,7,1,2017,22,winter,49.43062308,-123.4371707,28
17054,A,A,,17054HerringHerringA,YES,YES,3.074957822,1.624707321,9.038544685,3.491958983,2.983686387,1.567870847,8.437983574,3.312094985,3.029322105,1.596289084,8.73826413,3.402026984,,,2,133,23.0199,139.1394145,ch,male,65,,12,2016,339,winter,49.43062308,-123.4371707,28
17060,A,A,,17060HerringHerringA,YES,NO,3.032257298,1.390306818,8.025235274,3.007036337,,,,,3.032257298,1.390306818,8.025235274,3.007036337,,,2,125,18.2888,139.2764352,ch,male,62,,12,2016,356,winter,49.43062308,-123.4371707,28
17065,A,A,,17065HerringHerringA,YES,YES,3.495844601,1.756060047,9.346860995,4.416544486,3.484532207,1.761834729,9.218126576,4.348117778,3.490188404,1.758947388,9.282493786,4.382331132,,,2,149,22.5821,160.6535751,ch,female,68.52792,8.5,2,2017,48,winter,49.57396045,-123.2784006,28
17096,A,A,,17096HerringHerringA,YES,NO,3.957412583,2.000039625,11.03462279,5.476091939,,,,,3.957412583,2.000039625,11.03462279,5.476091939,,,1,189,62.2186,182.4645342,ch,female,,,5,2017,126,spring,48.59885812,-123.3810769,19
17110,A,A,,17110HerringHerringA,YES,YES,3.252360139,1.629458674,9.261308533,3.775019327,3.179966113,1.590660907,9.160272865,3.689883778,3.216163126,1.610059791,9.210790699,3.732451553,,,4,,,147.861527,ch,,65,7.78,4,2017,111,spring,49.3813018,-123.5388976,29
17111,A,A,,17111HerringHerringA,YES,NO,3.495194542,1.728844864,9.909318654,4.370790458,,,,,3.495194542,1.728844864,9.909318654,4.370790458,,,1,145,36.5575,160.8872716,ch,,68,,6,2017,175,summer,49.95313305,-124.7585746,15
17112,A,A,,17112HerringHerringA,YES,NO,1.170959594,0.734494936,3.100923285,0.59989434,,,,,1.170959594,0.734494936,3.100923285,0.59989434,,,2,55,1.4532,52.38733577,ch,,62,,6,2017,175,summer,49.95313305,-124.7585746,15
17112,B,B,,17112HerringHerringB,NO,YES,,,,,1.01825368,0.687537915,2.7449619,0.487957259,1.01825368,0.687537915,2.7449619,0.487957259,,,3,50,1.0787,45.25871829,ch,,62,,6,2017,175,summer,49.95313305,-124.7585746,15
17114,A,A,,17114HerringHerringA,YES,YES,4.008788337,1.966871175,11.09582762,5.570862437,3.92678895,1.933472484,11.01975725,5.465583634,3.967788644,1.95017183,11.05779244,5.518223036,,,2,184,67.3165,182.9489095,ch,female,62-70,,6,2017,174,summer,49.95313305,-124.7585746,15
17114,B,B,,17114HerringHerringB,YES,NO,3.140905591,1.495591119,8.571490557,3.315228364,,,,,3.140905591,1.495591119,8.571490557,3.315228364,,,4,,,144.3483548,ch,female,62-70,,6,2017,174,summer,49.95313305,-124.7585746,15
17115,B,B,Unidentified Fish,17115Unidentified FishHerringB,NO,YES,,,,,0.960603693,0.656586221,2.586353185,0.455631625,0.960603693,0.656586221,2.586353185,0.455631625,,,4,,,42.5675016,ch,,62-70,,6,2017,174,summer,49.95313305,-124.7585746,15
17117,A,A,Unidentified Fish,17117Unidentified FishHerringA,YES,NO,3.523878252,1.831594279,9.607757127,4.534163239,,,,,3.523878252,1.831594279,9.607757127,4.534163239,,,4,,,162.2262846,ch,,62-70,,6,2017,174,summer,49.95313305,-124.7585746,15
17118,A,A,,17118HerringHerringA,YES,YES,3.662619057,1.74805848,9.830337804,4.449772121,3.681764237,1.784743381,9.90127516,4.577177094,3.672191647,1.766400931,9.865806482,4.513474608,,,4,,,169.1498505,ch,,62-70,,6,2017,174,summer,49.95313305,-124.7585746,15
17126,A,A,,17126HerringHerringA,YES,NO,0.765716652,0.588894143,2.167907297,0.327065739,,,,,0.765716652,0.588894143,2.167907297,0.327065739,,,3,52,1.5928,33.46978475,ch,,62,7,7,2017,189,summer,48.31121003,-123.5755652,20
17126,B,B,,17126HerringHerringB,YES,YES,0.942129581,0.629593498,2.548618036,0.424409459,0.787665821,0.577679404,2.15950261,0.328550845,0.864897701,0.603636451,2.354060323,0.376480152,,,3,44,0.6781,38.09975448,ch,,62,7,7,2017,189,summer,48.31121003,-123.5755652,20
17127,A,A,,17127HerringHerringA,NO,YES,,,,,3.933508564,1.864974573,11.05437708,5.231654,3.933508564,1.864974573,11.05437708,5.231654,,,3,167,45.354,181.3486468,ch,male,50,,7,2017,189,summer,48.34380969,-123.5231875,20
17128,A,A,,17128HerringHerringA,YES,NO,3.04061514,1.566585644,8.325981821,3.299807108,,,,,3.04061514,1.566585644,8.325981821,3.299807108,,,4,,,139.666596,ch,female,52,,7,2017,189,summer,48.33640251,-123.5492177,20
17129,A,A,,17129HerringHerringA,NO,YES,,,,,0.969327502,0.658249515,2.574663849,0.433707794,0.969327502,0.658249515,2.574663849,0.433707794,,,2,49,0.9825,42.97474645,pink,,60,,7,2017,189,summer,48.33640251,-123.5492177,20
17129,B,B,,17129HerringHerringB,YES,NO,0.998959739,0.663337376,2.678121218,0.461669627,,,,,0.998959739,0.663337376,2.678121218,0.461669627,,,2,50,1.0932,44.35803854,pink,,60,,7,2017,189,summer,48.33640251,-123.5492177,20
17129,D,D,,17129HerringHerringD,YES,YES,0.784463276,0.54826096,2.111304253,0.312479333,0.778072859,0.551280053,2.082841461,0.302731922,0.781268068,0.549770507,2.097072857,0.307605628,,,4,,,34.19575593,pink,,60,,7,2017,189,summer,48.33640251,-123.5492177,20
17130,A,A,,17130HerringHerringA,YES,YES,1.17771099,0.760496817,3.177037808,0.623124858,1.184837015,0.760561744,3.174910025,0.626021143,1.181274003,0.760529281,3.175973917,0.624573001,,,3,61,1.7249,52.86883298,ch,,67,10,7,2017,189,summer,48.33640251,-123.5492177,20
17130,B,B,,17130HerringHerringB,YES,YES,0.913655554,0.627284726,2.45735942,0.401134598,0.899510318,0.626105178,2.414275419,0.394665432,0.906582936,0.626694952,2.43581742,0.397900015,,,3,49,0.758,40.04570462,ch,,67,10,7,2017,189,summer,48.33640251,-123.5492177,20
17130,C,C,,17130HerringHerringC,YES,NO,0.682802347,0.544266756,1.9082682,0.266305795,,,,,0.682802347,0.544266756,1.9082682,0.266305795,,,3,40,0.4577,29.59917916,ch,,67,10,7,2017,189,summer,48.33640251,-123.5492177,20
17130,D,D,,17130HerringHerringD,YES,YES,0.845198022,0.598635327,2.290714995,0.360397803,0.817290733,0.601886792,2.254192289,0.359244679,0.831244378,0.60026106,2.272453642,0.359821241,,,3,46,0.6226,36.52875003,ch,,67,10,7,2017,189,summer,48.33640251,-123.5492177,20
17130,F,F,,17130HerringHerringF,NO,YES,,,,,1.265163112,0.765042632,3.416461084,0.672879038,1.265163112,0.765042632,3.416461084,0.672879038,,,3,61,2.0424,56.78494439,ch,,67,10,7,2017,189,summer,48.33640251,-123.5492177,20
17131,A,A,Unidentified Fish,17131Unidentified FishHerringA,NO,YES,,,,,2.999385797,1.341326454,7.781074556,2.833052902,2.999385797,1.341326454,7.781074556,2.833052902,,,4,,,137.7419278,ch,,53,,7,2017,189,summer,48.33640251,-123.5492177,20
17133,A,A,,17133HerringHerringA,YES,YES,3.153333503,1.499190554,8.78881907,3.300429952,3.161908452,1.526921706,8.710509058,3.433939271,3.157620978,1.51305613,8.749664064,3.367184612,,,3,248,42.6891,145.1286625,ch,,73,,7,2017,189,summer,48.33640251,-123.5492177,20
17133,B,B,,17133HerringHerringB,YES,NO,2.904790486,1.389219618,7.654976858,2.803231783,,,,,2.904790486,1.389219618,7.654976858,2.803231783,,,4,,,133.3260295,ch,,73,,7,2017,189,summer,48.33640251,-123.5492177,20
